1,realme 80 cm (32 inch) HD Ready LED Smart Android TV(TV 32),13999,4.3,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kae95e80/television/f/6/y/realme-tv-32-original-imafrz79pweqeafh.jpeg?q=70,homea
2,Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Save,14499,4.4,"Tayab Manch Fashions,Seller since9months",https://rukminim1.flixcart.com/image/416/416/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70,homea
3,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition(UA32T4340AKXXL),16490,4,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70,homea
4,Nokia 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by Onkyo(32TAHDN),13999,4.5,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kfwvcsw0/television/m/x/3/nokia-32tahdn-original-imafw8xg5rw87ukj.jpeg?q=70,homea
5,"Preethi Steel SupremeMG-208 750 W Mixer Grinder(Silver/Black, 4 Jars)",6660,4.3,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/mixer-grinder-juicer/g/b/z/preethi-steele-supreme-original-imaeakzvjkp2yecf.jpeg?q=70,homea
6,"Prestige Atlas Plus 750 W Juicer Mixer Grinder(Blue, White, 4 Jars)",3900,4.1,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kbmjssw0/mixer-grinder-juicer/z/d/j/prestige-plus-original-imafsxcchzehazxh.jpeg?q=70,homea
7,"Sansui ProHome Melange 500 W Mixer Grinder(Grey, Black, 3 Jars)",1699,4,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kgb5rbk0/mixer-grinder-juicer/4/t/v/sansui-melange-original-imafwkw2fp8mxjks.jpeg?q=70,homea
8,"WONDERCHEF Nutri Blend Nutri-Blend 400 W Juicer Mixer Grinder(Black, 2 Jars)",2699,4.3,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/k01b8280/mixer-grinder-juicer/f/u/a/wonderchef-nutriblend-with-jar-original-imafj5mjygubvagw.jpeg?q=70,homea
9,BAJAJ Majesty DX 6 1000 W Dry Iron(White),616,4.3,"SNAPPLIANCES,Seller since 4years1month",https://rukminim1.flixcart.com/image/416/416/iron/u/w/8/bajaj-dx6-original-imaefuzzjgux5nqz.jpeg?q=70,homea
10,KENT Ace 8 L RO + UV + UF + TDS Water Purifier(White),13999,4.4,"OmniTechRetail,Seller since 4years8months",https://rukminim1.flixcart.com/image/416/416/kf2v3ww0/water-purifier/n/z/f/kent-ace-original-imafvm9auhur9dg9.jpeg?q=70,homea
